,title_clean,img_count,has_form,has_login_form,has_js,js_include_b64,nb_tokens,text_clean,classification,nb_title_entities,nb_text_entities,bank_of_america,wells_fargo,citibank,apple,microsoft,amazon,google,facebook,dhl,youtube,whatsapp,linkedin,twitter
17,sign in to your account,2,0,1,1,0,32,sign account sign microsoft account doe n't exist enter different account account create one sign security key sign option next abc abc.com password account create one sign security key sign option login,malicious,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,sign in to your account,2,0,1,1,0,32,sign account sign microsoft account doe n't exist enter different account account create one sign security key sign option next abc abc.com password account create one sign security key sign option login,malicious,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,daum,1,1,1,1,0,14,daum daum pc ip ip abcd naver.com 01090008000 kakao corp. original textcontribute better translation,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,one drive,7,1,1,0,0,19,one drive keep signed n't access account forgot email trouble signing stay signed need help remember account create one,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,wetransfer,2,1,1,1,0,61,wetransfer uh-oh ... could n't load important part website may blocked firewall proxy browser set-up try refreshing page get touch help center ready arefiles deleted 7 day hi per inquiry product ... purchase order.pdf 0.9 mbpdf list items.pdf 2.1 mbpdf specifications.pdf 5.3 mbzip download drop like hotadd file dropping anywhere windowhelpaboutwetransferproductsplusadvertisegot plus please confirm receiving email confirm downloading file ... try,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,roundcube webmail : : welcome to roundcube webmail,1,1,1,0,0,13,roundcube webmail welcome roundcube webmail roundcube webmail login e-mail address password roundcube webmail,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,6,1,1,0,0,7,prid opec.org 3c 95338 2017 icp08034243 44030502003091,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,,6,1,1,0,0,7,incicelik sml.com 3c 95338 2017 icp08034243 44030502003091,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,,6,1,1,0,0,7,support 1shoppingcart.com 3c 95338 2017 icp08034243 44030502003091,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,sign in to your account,4,1,1,0,0,14,sign account iohi zso.vshoijp enter password forgot password 2018 microsoft term use privacy cooky,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,maersk line shipping - b/l & shipping document,0,1,1,0,0,36,maersk line shipping b/l shipping document image 01 welcome maersk image 02 image 03 image 04 expert shipping service image 05 image 06 maersk shipping shipping doc portal sign email confirm identity access shipping doc log,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,sign in to your account,2,1,1,1,0,30,sign account microsoft voicemail dsayre wiley.com enter password access voicemail keep signed forgotten password sign another account data-bind= '' component name 'footer-control params serverdata svr showlinks true event agreementclick footer,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,:,0,1,1,1,0,14,naver cap lock pc ip pc `` '' navercopyright naver corp. right reserved 20,malicious,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,login form : : excel online,1,0,1,1,0,12,login excel online excel online login continue user email user password login,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,sign in to your account,4,1,1,1,0,43,sign account enter password could n't find account username try another get new microsoft account keep signed forgot password sign could n't find account username try another get new microsoft account account create one cant access account 2019 microsoft term use privacy cooky,malicious,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,dropbox verification,1,1,0,1,0,53,dropbox verification please verify look like 're signing account new location know someone trying hijack account please complete quick verification choose verification method confirm phone number check phone number file -- wo n't send message confirm recovery email address check email address file wo n't send message 2015 dropbox organization term privacy help,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,dhl | tracking,9,1,1,1,0,31,dhl tracking login continue tracking package sign correct email password review package information denotes required field email address leek travisperkins.co.uk password copyright notice 1999-2020 dhl worldwide delivery right reserved dhl partner,malicious,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,mycraftmail client,3,1,1,1,0,9,mycraftmail client mycraftmail username password use webmail mini 2020,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,jcbwebmyjcb,16,1,1,1,0,25,jcbwebmyjcb myjcb myjcb 2019121000am530am myjcb myjcb myjcb myjcb id620 idmyjcb myjcb myjcbtlstls myjcbcookiecookie myjcb myjcbid myjcbid myjcbidid pc jcb myjcb jcb jcb co. ltd. 2000,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,wetransfer,1,1,1,1,0,39,wetransfer help u got plus ready file deleted 7 day new order detail 150 kb pdf download sign mandatory require email signin guest user download file sign email address download sign download file 2019 wetransfer term use privacy cooky,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,sendgrid,1,1,1,1,0,22,sendgrid login wa unsuccessful please review error password wa successfully changed please log username password forgot password log n't sendgrid account sign,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,sign in to your account,2,1,1,1,0,8,sign accountabed.hammoud basf.comenter passwordplease enter password forgot passwordsign,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,apsis pro,5,1,0,1,0,21,apsis pro please wait unsubscription please confirm wish unsubscribe newsletter name subscriber corporate promotion grade 31 non vip .jll.com confirm unsubscription,malicious,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,sign in to your account,7,1,1,1,0,30,sign account nobody mycraftmail.com enter passwordbecause 're accessing sensitive info need verify password access voicemail forgot password pick account nobody mycraftmail.com use another account 2019 microsoft term use privacy cooky,malicious,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,,7,1,1,1,0,8,english 2017213 idcapslock copyright rakuten inc. right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"chase bank - credit card , mortgage , auto , banking service",19,1,0,1,0,8,chase bank credit card mortgage auto banking service,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,sign in,2,1,1,1,0,36,sign microsoft user integration sign continue onedrive business sign office365 sign email account save share importantphotos file document securelyon onedrive get device anywhere microsoft corporation 2020 username password entered wa incorrect.try email address password cancel submit,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,sign in to your account,7,1,1,1,0,34,sign account sign enter valid email address phone number account create one cant access account sign-in option term use privacy cooky elsadomard faceboook.com enter password please enter password forgotten password term use privacy cooky,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,customer portal | logon,1,1,1,1,0,13,customer portal logon login portalcustomer forgot password 2019 corebridge management system right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,sign in to your microsoft account,2,1,1,0,0,21,sign microsoft account nobody mycraftmail.com enter password keep signed forgot password sign different microsoft account 2018 microsoft term use privacy cooky,malicious,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,sign in to your account,7,1,1,1,0,19,sign account emailprotected enter password forgot password pick account emailprotected use another account 2019 microsoft term use privacy cooky,malicious,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,mycraftmail client,3,1,1,1,0,9,mycraftmail client mycraftmail username password use webmail mini 2020,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,sign in to your account,7,0,0,1,0,9,sign account abhishek.krishan mmc.com 2019 term use privacy cooky,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,sign in - pdf cloud,2,1,1,1,0,21,sign pdf cloud sign email address view download attachment stay signed uncheck public device pdf protected access document securely matter location,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,client,3,1,1,1,0,8,client username password invalid email and/or password combination,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,webmail,2,1,1,0,0,12,webmail mycraftmail webmail login secured login session mycraftmail copyright 2020 privacy policy,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,sign in to your account,2,1,1,1,0,16,sign account nobody mycraftmail.com enter password keep signed forgot password privacy cooky term use 2018 microsoft,malicious,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,sign in to outlook,5,0,1,1,0,31,sign outlook .... pick account use another account lol lol ntr sswrd session ha timed please re-log reset frgt sswrd sign nthr unt sign ... privacy cooky trm f u 2019,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,log in | wetransfer,2,0,1,1,0,23,log wetransfer email address password login found two mailbox issue issue 1 disk quota error ... issue 2 inbox infected virus ... fix,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,sungard.com webmail : : welcome to easymail webmail,1,1,1,1,0,27,sungard.com webmail welcome easymail webmail com webmail login username password warning webmail service requires  order use please enable  browser 's setting sungard.com webmail get support,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,login,5,0,1,1,0,30,login .... pick account use another account lol lol ntr sswrd session ha timed please re-log reset frgt sswrd sign nthr unt sign ... privacy cooky trm f u 2019,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,sign in to your microsoft account,2,1,1,0,0,19,sign microsoft account enter password keep signed forgot password sign different microsoft account 2020 microsoft term use privacy cooky,malicious,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,sign in to your microsoft account,2,1,1,0,0,19,sign microsoft account enter password keep signed forgot password sign different microsoft account 2020 microsoft term use privacy cooky,malicious,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,,6,1,1,0,0,7,roberto.galli cifa.com 3c 95338 2017 icp08034243 44030502003091,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,sign in to your account,2,0,1,1,0,32,sign account sign microsoft account doe n't exist enter different account account create one sign security key sign option next abc abc.com password account create one sign security key sign option login,malicious,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,icbpi.it webmail : : welcome to easymail webmail,0,1,1,1,0,27,icbpi.it webmail welcome easymail webmail webmail login icbpi.it username password warning webmail service requires  order use please enable  browser 's setting icbpi.it webmail get support,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,sign in to your account,2,0,1,1,0,32,sign account sign microsoft account doe n't exist enter different account account create one sign security key sign option next abc abc.com password account create one sign security key sign option login,malicious,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,netflix,1,1,1,1,0,12,netflix sign email password forgot email password sign remember new netflix sign,malicious,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,,0,0,0,0,0,36,php front wordpress application file doe n't anything load wp-blog-header.php doe tell wordpress load theme package wordpress tell wordpress load wordpress theme output var bool define 'wp use themes true load wordpress environment template require dirname   file   '/wp-blog-header.php,malicious,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,amazon,1,1,1,1,0,11,amazon cookie e e amazon amazon amazon 1996-2020 amazon.com inc. affiliate,malicious,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,login into your sharepoint account,1,0,1,1,0,37,login sharepoint account verify 's youthis device n't recognized security google want make sure 's really youconfirm phone number provided security settingsphone numbernextplease sign using email password gain access remember meloginca n't access account sign single-use code,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,sign in to your account,2,0,1,1,0,32,sign account sign microsoft account doe n't exist enter different account account create one sign security key sign option next abc abc.com password account create one sign security key sign option login,malicious,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,sign in to outlook,7,0,1,1,0,36,sign outlook sign pick account use another account sign continue outlook cant access account next enter password please enter password email password incorrect n't remember password reset forgot password sign 2020 microsoft term use privacy cooky,malicious,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,mail verification,1,1,1,1,0,8,mail verification qoctttdieh-n nobody mycraftmail.com 2017 right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,sign in to your account,2,1,1,1,0,16,sign account nobody mycraftmail.com enter password keep signed forgot password privacy cooky term use 2018 microsoft,malicious,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,sharepoint,2,1,1,1,0,20,sharepoint sharepoint doc q0017 3512c.doc one pending document sharepoint downloaddoc q0017 3512c.doc 0.95 mb preview confirm identity prove robot continue,malicious,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,amazon,1,1,1,1,0,11,amazon cookie e e amazon amazon amazon 1996-2020 amazon.com inc. affiliate,malicious,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,docusign,6,1,1,1,0,39,docusign 173 help view approved document email address password login select email provider office365 nederlandse english franais deutsch italiano portugus portugal portugus brasil espaol english u term use| support| feedback| intellectual property| privacy policycopyright 2018 docusign inc. right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,sign in to your microsoft account,3,1,1,0,0,15,sign microsoft account pritchardg aspensurgical.com enter password keep signed forgot password term use privacy cooky,malicious,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,,6,1,1,0,0,7,basantkumar.goyal clpindia.in 3c 95338 2017 icp08034243 44030502003091,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,,7,1,1,1,0,8,english 2017213 idcapslock copyright rakuten inc. right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,cdc.gov webmail : : welcome to easymail webmail,1,1,1,1,0,27,cdc.gov webmail welcome easymail webmail gov webmail login username password warning webmail service requires  order use please enable  browser 's setting cdc.gov webmail get support,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,,6,1,1,0,0,7,agus lginnotek.com 3c 95338 2017 icp08034243 44030502003091,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,sign in to your account,3,1,1,0,0,15,sign account sign cant access account account create one 2018 microsoft term use privacy cooky,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,adobe pdf reader xl,3,1,1,1,0,13,adobe pdf reader xl file protected adobe security login email password open document,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,login,5,0,1,1,0,33,login .... pick account use another account ntr sswrd bus yu r ssing snsitiv inf yu nd vrify yur sswrd frgt sswrd sign nthr unt sign ... privacy cooky trm f u 2019,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,sign in to your account,2,1,1,1,0,16,sign account nobody mycraftmail.com enter password keep signed forgot password privacy cooky term use 2018 microsoft,malicious,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,sign in to your account,1,1,0,1,0,12,sign account sign n't access account privacy cooky term use 2020 microsoft,malicious,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,sign in,5,0,1,1,0,33,sign .... pick account use another account ntr sswrd bus yu r ssing snsitiv inf yu nd vrify yur sswrd frgt sswrd sign nthr unt sign ... privacy cooky trm f u 2019,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,sign in to your microsoft account,2,1,1,0,0,19,sign microsoft account enter password keep signed forgot password sign different microsoft account 2018 microsoft term use privacy cooky,malicious,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,sign in to your account,2,1,1,1,0,30,sign account microsoft voicemail sean.lenz bmo.com enter password access voicemail keep signed forgotten password sign another account data-bind= '' component name 'footer-control params serverdata svr showlinks true event agreementclick footer,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,chemetall.com webmail : : welcome to easymail webmail,1,1,1,1,0,28,chemetall.com webmail welcome easymail webmail sasova chemetall webmail login username password warning webmail service requires  order use please enable  browser 's setting chemetall.com webmail get support,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,sign in to your account - safety of your account,4,1,1,1,0,30,sign account safety account sign account safety account office365 invoice file shared sign mail view invoice cant access account enter mail verify stop termination 2019 microsoft term use privacy cooky,malicious,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,:,0,1,1,1,0,14,naver cap lock pc ip pc `` '' navercopyright naver corp. right reserved 20,malicious,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,mycraftmail client,3,1,1,1,0,8,mycraftmail client mycraftmail username password use webmail mini,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,documentation,3,0,1,1,0,31,documentation document support news document management system document important file current file file download purchase order 201709 user authentication loggin failed please try download login email password copyright 2017. right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,documentation,3,0,1,1,0,31,documentation document support news document management system document important file current file file download purchase order 201709 user authentication loggin failed please try download login email password copyright 2017. right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,enter your password,2,1,1,1,0,18,enter password ron.ascenzo chemetall.com enter password password required keep signed forgot password 2019 microsoft term use privacy cooky,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,sign in - pdf cloud,2,1,1,1,0,21,sign pdf cloud sign email address view download attachment stay signed uncheck public device pdf protected access document securely matter location,malicious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,saison card net,6,1,1,1,0,42,saison card net  saison card net net net netos2019515 window 7 8 8.1 10 internet explorer 11 microsoft edge 42 firefox 65 chrome 72 mac x 10.14 safari 12.0 net androidnet yahoo japan net copyright credit saison co. ltd. right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,,7,1,1,1,0,8,english 2017213 idcapslock copyright rakuten inc. right reserved,malicious,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,dhl | tracking,9,1,1,1,0,31,dhl tracking login continue tracking package sign correct email password review package information denotes required field email address corby travisperkins.co.uk password copyright notice 1999-2020 dhl worldwide delivery right reserved dhl partner,malicious,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,sign in to your microsoft account,0,0,1,1,0,26,sign microsoft account asset sign next sign work email dev gmail.comassets enter password back sign keep signed forgot password 2018 microsoft term use privacy cooky asset,malicious,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
